Date Added,Company,Website,Category,Region,Funding (stage/amount),Announced Date,Source,X Handle,X Active,X DMs,LinkedIn,Instagram,Discord,Email,Founder,Founder X,Founder LinkedIn,Fit Reasoning
2026-07-10,Ollama,https://ollama.com,AI,US,"Series B, $65M (Theory Ventures)",2026-07-09,TechCrunch,ollama,TRUE,unknown,,,,,Jeffrey Morgan (Co-founder & CEO),,,"Open-source local AI developer platform, 8.9M monthly active devs; raised $65M Series B Jul 9"
2026-07-10,Prime Intellect,https://www.primeintellect.ai,AI,US,"Series A, $130M at $1B valuation (Radical Ventures)",2026-07-08,TechCrunch,PrimeIntellect,TRUE,unknown,,,,,Vincent Weisser (Co-founder & CEO),vincentweisser,,Full-stack platform for enterprises to train/deploy their own AI agents; $130M Series A Jul 8
2026-07-10,Monogram,https://www.monogram.ai,AI,US,"Seed, $40M (DST Global + Lux Capital)",2026-07-07,RuntimeWire / PR,monogram__ai,TRUE,unknown,,,,,Eren Bali (Co-founder & CEO),erenbali,,"Consumer AI app generating visual interfaces on the fly (Eren Bali, Udemy co-founder); $40M seed Jul 7"
2026-07-11,Lyzr,https://www.lyzr.ai,AI,US,"Series B, ~$100M at ~$500M valuation (in progress)",2026-07-09,Bloomberg,lyzr__ai,TRUE,unknown,,,,,Siva Surendira (Co-founder & CEO),theAIsailor,,Enterprise AI-agent platform; famously used its own AI agent for investor outreach; Series B news Jul 9
2026-07-11,Bespoke Labs,https://www.bespokelabs.ai,AI,US,"Series A, $40M (Wing VC)",2026-07-06,SiliconANGLE / Finsmes,bespokelabsai,TRUE,unknown,,,,,Mahesh Sathiamoorthy (Co-founder & CEO),madiator,,RL environments + eval infrastructure for reliable AI agents; $40M Series A announced Jul 6-8
2026-07-11,TwelveLabs,https://www.twelvelabs.io,AI,US,"Series B, $100M (NEA + NAVER Ventures)",2026-07-01,TheSaaSNews,twelve_labs,TRUE,unknown,,,,,Jae Lee (Co-founder & CEO),,,"Agentic video-intelligence platform (Marengo/Pegasus models, AWS Bedrock integration); $100M Series B Jul 1"
2026-07-11,8090,https://www.8090.ai,AI,US,"Series A, $135M (Salesforce Ventures)",2026-06-26,BusinessWire / SiliconANGLE,8090_Factory,TRUE,unknown,,,,,Chamath Palihapitiya (Founder & CEO),chamath,,AI-native 'Software Factory' for enterprise software; founder-CEO Chamath posts about it weekly on X
2026-07-11,Fleek,https://www.joinfleek.com,Tech/Software,UK,"Series B, $25M (Burda Principal Investments, eBay)",2026-07-08,Fortune / TNW,joinfleek,TRUE,unknown,,joinfleek,,,Abhi Arora (Co-founder & CEO),,,AI infrastructure + B2B marketplace for secondhand fashion (YC W22); $25M Series B Jul 8; active X + 46K Instagram
2026-07-11,Agave,https://www.useagave.com,SaaS,US,"Series A, $15M (Accel + Y Combinator)",2026-07-07,BusinessWire / Axios,useagave,TRUE,unknown,,,,,Tom Reno (Co-founder & CEO),,,"AI platform for construction financials (YC W22, profitable 2+ years, 500+ contractors); $15M Series A Jul 7"
2026-07-11,Attention,https://www.attention.com,SaaS,US,"Series B, $30M (RTP Global)",2026-06-24,PRNewswire / Finsmes,tryattention,TRUE,unknown,,,,,Anis Bennaceur (Co-founder & CEO),,,"AI revenue-team platform (20M+ agent actions/mo, ARR 4x YoY); $30M Series B Jun 24"
2026-07-11,Redo,https://www.getredo.com,SaaS,US,"Series B, $81M at $1.25B valuation (Smash Capital)",2026-06-23,Finsmes / Utah Business,redo_hq,TRUE,unknown,,,,,Sterling Snow (Co-founder),,,"Post-purchase commerce platform (returns, tracking, support) for DTC brands; $81M Series B Jun 23"
2026-07-11,Axle Energy,https://axle.energy,Tech/Software,UK,"Series A, $25M (Energize Capital; Accel, Picus, Eka participating)",2026-07-10,Finsmes / Menlo Times,,FALSE,unknown,,,,,Archy de Berker (Co-founder (with Karl Bach)),ArchydeB,,Unified API connecting EVs/batteries/heat pumps to energy markets; $25M Series A announced Jul 10; founder X is the active channel
2026-07-11,Twenty,https://twenty.com,SaaS,Europe,"Series B, $100M at $1B valuation (Accel)",2026-06-20,TFN / X announcement,twentycrm,TRUE,unknown,,,,,Félix Malfait (Co-founder & CEO),_felx,,Open-source CRM (Salesforce alternative); $100M Series B late June; very active dev-community X
2026-07-11,Ornn,https://ornn.com,Trading platform,US,"Seed, $33M (a16z crypto + Galaxy Ventures)",2026-06-24,Bloomberg / SiliconANGLE,OrnnExchange,TRUE,unknown,,,,,Kush Bavaria (Co-founder & CEO (CTO: Wayne Nelms @wayne_nelmz)),bavaria_kush,,"Trading infrastructure for AI compute (H100 price index on Bloomberg, GPU futures with ICE); $33M seed Jun 24"
